#Genome	Original Genome name	Microbial Group	Microbial Group obtaining method	Genome Phylogeny	Strain name	Genome mean coverage	Genome completeness (%)	Genome contamination (%)	Strain heterogeneity (%)	16S rRNA phylogeny (The longest identified fragment)	# ambiguous bases	# contigs	# predicted genes	# scaffolds	Coding density	GC	GC std	Genome size	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs	Gram	Environment
SZUA-1175	SZU_Cayman_Deep__BandP_5.37.B	Marine Group III	GTDB genome phylogeny	d__Archaea;p__Thermoplasmataeota;c__Epipelagoarchaeia;o__Epipelagoarchaeales;f__Epipelagoarchaeaceae;g__Bathypelagoarchaeum;s__Bathypelagoarchaeum sp1	Marine Group III archaeon Bathy SZUA-1175 [Class]	48.14	62.19	6.13	90	#N/A	0	300	1058	300	0.954488376	0.655281235	0.027187984	819439	9773	9773	2731.463333	2731.463333	2701	2701	11	19	0	0	0	3	22	Archaea	CymD
SZUA-1177	SZU_Cayman_Deep__BandP_6.16.B	Gammaproteobacteria-LS-SOB	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA11791;s__UBA11791 sp1	Gammaproteobacteria bacterium SZUA-1177 [Class]	19.73	76.38	5.17	15.38	#N/A	0	695	3256	695	0.913417205	0.536995586	0.022329326	2924484	25728	25728	4207.890647	4207.890647	4812	4812	11	34	0	0	0	1	35	Gram Negative	CymD
SZUA-1178	SZU_Cayman_Deep__BandP_6.19.B	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA1151;f__UBA1151;g__UBA1328;s__UBA1328 sp1	Dehalococcoidia bacterium SZUA-1178 [Class]	26.2	90.76	0	0	#N/A	0	409	2511	409	0.872636562	0.580011177	0.013935333	2383392	30818	30818	5827.364303	5827.364303	7573	7573	11	35	0	0	0	4	39	Gram Negative	CymD
SZUA-1180	SZU_Cayman_Deep__BandP_7.32.P	Alphaproteobacteria-Pelagibacterales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__AAA240-E13;unclassified	Pelagibacteraceae bacterium SZUA-1180 [Family]	87.93	73.6	2.7	80	#N/A	0	228	938	228	0.946651046	0.310839543	0.025439011	760521	13602	13602	3335.618421	3335.618421	3671	3671	11	10	0	0	0	0	10	Gram Negative	CymD
SZUA-1181	SZU_Cayman_Deep__BandP_8.15.B	Alphaproteobacteria-Rhodospirillales	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__Casp-alpha2;unclassified	Rhodospirillales bacterium SZUA-1181 [Order]	38.23	91.75	7.06	29.41	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;uncultured alpha proteobacterium	0	439	2754	439	0.894125496	0.620136515	0.024018594	2516791	38623	38623	5733.009112	5733.009112	7920	7920	11	33	0	0	0	1	34	Gram Negative	CymD
SZUA-1182	SZU_Cayman_Deep__BandP_8.23.P	Gammaproteobacteria-UBA11654	GTDB genome phylogeny	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__UBA11654;unclassified	Gammaproteobacteria bacterium SZUA-1182 [Class]	46.65	54.55	2.08	61.54	Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured;uncultured bacterium	0	219	1446	219	0.936905355	0.413935622	0.02302121	1346707	41065	41065	6149.347032	6149.347032	10412	10412	11	29	0	0	0	0	29	Gram Negative	CymD
SZUA-1183	SZU_Cayman_Deep__BandP_9.11.B	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;unclassified	Dehalococcoidia bacterium SZUA-1183 [Class]	115.29	92.57	1.19	33.33	#N/A	0	201	3076	201	0.866318217	0.592706802	0.012465664	3042808	88086	88086	15138.34826	15138.34826	22026	22026	11	44	0	0	0	3	47	Gram Negative	CymD
SZUA-1184	SZU_Cayman_Deep__BandP_9.21.P	Marinimicrobia	GTDB genome phylogeny	d__Bacteria;p__Marinimicrobia;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;g__UBA2126;unclassified	Candidatus Marinimicrobia bacterium SZUA-1184 [Phylum]	32.84	54.75	4.4	75	#N/A	0	276	1692	276	0.943372623	0.417041585	0.025626411	1770610	27345	27345	6415.253623	6415.253623	7717	7717	11	34	0	1	0	2	37	Gram Negative	CymD
SZUA-1185	SZU_Cayman_Deep__BandP_9.22.B	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;unclassified	Dehalococcoidia bacterium SZUA-1185 [Class]	29.76	73.84	4.68	57.14	#N/A	0	232	2047	232	0.872234549	0.578281182	0.015617608	1918539	64089	64089	8269.564655	8269.564655	10972	10972	11	21	0	0	0	1	22	Gram Negative	CymD
SZUA-1186	SZU_Cayman_Deep__BandP_9.32.B	Marinimicrobia	GTDB genome phylogeny	d__Bacteria;p__Marinimicrobia;c__Marinisomatia;o__Marinisomatales;f__Marinisomataceae;unclassified;unclassified	Candidatus Marinimicrobia bacterium SZUA-1186 [Phylum]	32.45	52.71	8.42	100	#N/A	0	217	1090	217	0.939650625	0.376601196	0.020943773	955536	64390	64390	4403.391705	4403.391705	4062	4062	11	10	0	0	0	1	11	Gram Negative	CymD
SZUA-1189	SZU_Cayman_Deep__BandP_9.5.P	Chloroflexi	GTDB genome phylogeny	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;unclassified	Dehalococcoidia bacterium SZUA-1189 [Class]	47.84	79.37	9.02	58.33	#N/A	0	215	2766	215	0.866158126	0.585979213	0.013504679	2668552	96433	96433	12411.86977	12411.86977	18635	18635	11	42	0	0	0	1	43	Gram Negative	CymD
SZUA-1190	SZU_Cayman_Deep__BandP_9.6.B	Gemmatimonadetes	GTDB genome phylogeny	d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA1138;s__UBA1138 sp1	Gemmatimonadetes bacterium SZUA-1190 [Class]	38.87	95.36	3.3	0	#N/A	0	136	3821	136	0.919042753	0.640734824	0.010133019	3960189	196111	196111	29119.03676	29119.03676	55663	55663	11	46	0	0	0	2	48	Gram Negative	CymD
